term,estimate,std.error,statistic,p.value,model
agency_index,2.0947734569399956,0.09702677060946335,21.589644216558984,2.2473612379965105e-103,m1
female,-0.293272728235438,0.03509112952709172,-8.357460480404884,6.408276313945443e-17,m1
age,0.06435463211499552,0.0041011525859946845,15.691840468156366,1.719955659615463e-55,m1
gemeduc,6.278840419535729e-5,2.684701627558362e-5,2.3387479469165835,0.01934848211436753,m1
I(1 - fear_binary),0.16218826618983317,0.027430167047812284,5.912769904285677,3.364019665985136e-9,m2
skill_binary,0.8613398955265795,0.03794645635782368,22.6988229784727,4.601500035469287e-114,m2
know_binary,0.6597552730748706,0.03085335734728373,21.383581230681017,1.8997672874434986e-101,m2
opport_binary,0.3472430668949324,0.0316829876641071,10.959921790719118,5.955080988188907e-28,m2
female,-0.28957624093881695,0.03490473693983747,-8.296187461258814,1.0750584461709067e-16,m2
age,0.06057465663641496,0.004008291540642579,15.11233801788382,1.3428913609749406e-51,m2
gemeduc,5.015586951904705e-5,2.6656673669366334e-5,1.8815501941896762,0.059897114048680304,m2
agency_index,2.0233702238693607,0.09598305352040096,21.080494417061846,1.2012220105285776e-98,m3
female,-0.3915277392099147,0.0558605603514375,-7.009019185390954,2.3999454787155292e-12,m3
age,0.06439978416461203,0.004096666920025366,15.72004398253917,1.1024712969614102e-55,m3
gemeduc,6.291102098329989e-5,2.6850734519513872e-5,2.3429906894196533,0.01912986047079399,m3
agency_index:female,0.16766224041793498,0.059552177345731025,2.8153838850352932,0.004871899903715625,m3
agency_index,2.3132374695836724,0.11783725954701833,19.63078128663257,8.44067745250999e-86,m4
employed,1.6511810664661084,0.10791390437751014,15.30091118462232,7.539365149646471e-53,m4
female,-0.10083269791645935,0.03826228932243074,-2.6353022702524904,0.008406238685294398,m4
age,0.01690423729165469,0.004053397005866712,4.170387767886596,3.0408178279071767e-5,m4
gemeduc,4.727637677527837e-5,2.5293488096347258e-5,1.8691125793008263,0.06160715326631643,m4
agency_index:employed,-0.43485309159437513,0.118651749754908,-3.6649530452995913,2.473839652207017e-4,m4
agency_index,2.826891850319345,0.10806928264407578,26.158143934661453,7.962108938924383e-151,m5
female,-0.23857787791942944,0.034315022217360415,-6.95257827339333,3.5866970667668815e-12,m5
age,0.06156858063064081,0.004001948063409649,15.384652587966007,2.0748715870658402e-53,m5
gemeduc,3.539079581852089e-5,2.5830208951166623e-5,1.3701319987549874,0.17064570071853288,m5
agency_index:post2018,-5.027247152139699,0.18915860183577515,-26.576888935266528,1.2560005816440796e-155,m5
agency_index,2.7242330411072246,0.11858651609146913,22.972536262098693,8.773781997061734e-117,m6
band2016_2017,-0.09876210830162427,0.10007687750921274,-0.9868624077777863,0.32371009533417994,m6
band2019_2020,2.568570356849123,0.11545185788655346,22.247977675448748,1.179944184726903e-109,m6
female,-0.2397998192459868,0.03417402060654027,-7.017020970605186,2.266486031594371e-12,m6
age,0.061457646633269365,0.004014742137457145,15.307993522143212,6.761790961428659e-53,m6
gemeduc,3.346564643796974e-5,2.6469641013692955e-5,1.264302996049614,0.20612129464999585,m6
agency_index:band2016_2017,0.2992977937351504,0.1281504467259632,2.3355189262443115,0.019516328368853024,m6
agency_index:band2019_2020,-4.927713496152798,0.19436897963743097,-25.35236592456667,8.462469062476404e-142,m6
