country,2017,2018,2019,years_present
1,444,711,671,3
7,0,500,552,2
20,1144,1158,1122,3
27,1147,0,1177,2
30,635,633,633,3
31,431,449,454,3
33,424,422,0,2
34,4678,4533,4635,3
39,439,397,334,3
41,446,469,351,3
43,0,1000,0,1
44,1639,1875,389,3
46,1088,1012,1051,3
47,0,0,501,1
48,1452,1998,2011,3
49,985,823,669,3
51,789,816,0,2
52,1762,0,2312,2
54,556,648,0,2
55,681,707,649,3
56,2382,2330,2261,3
57,707,672,693,3
60,783,0,0,1
61,428,0,418,2
62,1003,1290,0,2
66,565,593,0,2
81,369,426,400,3
82,481,474,488,3
84,848,0,0,1
86,1028,958,891,3
90,0,750,0,1
91,1680,1735,1429,3
92,0,0,803,1
98,1456,1129,1080,3
101,469,418,1820,3
212,1371,1592,1627,3
244,0,967,0,1
249,0,794,0,1
261,802,1018,965,3
351,0,0,437,1
352,404,0,0,1
353,548,525,523,3
357,533,588,532,3
359,491,500,0,2
371,418,0,349,2
372,307,0,0,1
374,0,0,570,1
375,0,0,579,1
385,466,456,450,3
386,325,388,377,3
387,599,0,0,1
389,0,0,575,1
421,492,402,326,3
502,1268,1407,1421,3
507,696,682,684,3
593,735,0,805,2
598,469,485,0,2
701,733,0,0,1
787,588,568,595,3
886,470,523,567,3
961,642,623,0,2
962,0,0,676,1
966,1728,1385,1288,3
971,1602,1160,782,3
972,631,631,669,3
974,1217,986,1228,3
