"Model","Predictor","Estimate","SE","Pvalue","Significant"
"M1: H1 Direct Effect","(Intercept)",-2.49442491614273,0.174212351726666,1.68184408953443e-46,"***"
"M1: H1 Direct Effect","agency_index",0.616244657902487,0.0464495171597155,3.5980687795565e-40,"***"
"M1: H1 Direct Effect","age",0.0167419572769414,0.00512351045819776,0.00108435535306211,"***"
"M1: H1 Direct Effect","gender",-0.216261070479464,0.0362226663375916,2.36782236507134e-09,"***"
"M1: H1 Direct Effect","hhsize",-0.00277012242468075,0.00915489357168193,0.762207066852027,""
"M1: H1 Direct Effect","gemeduc",0.000174208763620171,4.10253734824728e-05,2.17265322981063e-05,"***"
"M1: H1 Direct Effect","gemhhinc",5.54530503014347e-06,5.8493053762e-07,2.53602683054625e-21,"***"
"M1: H1 Direct Effect","gemoccu",0.300535936975711,0.00708066255981005,0,"***"
"M1: H1 Direct Effect","gemwork",-0.498047833199203,0.0128931878311893,0,"***"
"M2: H2 Institutional Interaction","(Intercept)",-2.49415375436332,0.174106073056599,1.51667872621552e-46,"***"
"M2: H2 Institutional Interaction","agency_index",0.618214643629688,0.0465053036426179,2.52748055576859e-40,"***"
"M2: H2 Institutional Interaction","nes_inq_std",-0.00976754329249999,0.0756933059758713,0.897325171208109,""
"M2: H2 Institutional Interaction","age",0.0167522469506322,0.00512416988354968,0.00107828922550786,"***"
"M2: H2 Institutional Interaction","gender",-0.216407277171573,0.0362242379727353,2.31361621207329e-09,"***"
"M2: H2 Institutional Interaction","hhsize",-0.00295505918982135,0.00916026846491063,0.747001783715387,""
"M2: H2 Institutional Interaction","gemeduc",0.000174692459218509,4.10457177671267e-05,2.08073998707818e-05,"***"
"M2: H2 Institutional Interaction","gemhhinc",5.54654857724704e-06,5.84993569935204e-07,2.50932885514177e-21,"***"
"M2: H2 Institutional Interaction","gemoccu",0.300571739587975,0.00708369212969828,0,"***"
"M2: H2 Institutional Interaction","gemwork",-0.497930612252848,0.0128967048674471,0,"***"
"M2: H2 Institutional Interaction","agency_index:nes_inq_std",-0.0495399749106149,0.047394654841685,0.295900499228643,""
"M3: H3 NECI Amplification","(Intercept)",-2.49776199148347,0.173715880385736,7.06776252500531e-47,"***"
"M3: H3 NECI Amplification","agency_index",0.618206956680372,0.0465920586995675,3.52544668235021e-40,"***"
"M3: H3 NECI Amplification","neci_overall_std",-0.0892397988092024,0.077398271355003,0.248912548515452,""
"M3: H3 NECI Amplification","age",0.0167128352284947,0.00512313845017278,0.00110540994549093,"***"
"M3: H3 NECI Amplification","gender",-0.216166374994176,0.0362229688357519,2.40679714193898e-09,"***"
"M3: H3 NECI Amplification","hhsize",-0.00294075614719409,0.00916051636881574,0.748191331373835,""
"M3: H3 NECI Amplification","gemeduc",0.000175069366085474,4.10338220625445e-05,1.98594624282998e-05,"***"
"M3: H3 NECI Amplification","gemhhinc",5.53963266106985e-06,5.84879862197972e-07,2.76110851268954e-21,"***"
"M3: H3 NECI Amplification","gemoccu",0.300251665804512,0.00708299176794972,0,"***"
"M3: H3 NECI Amplification","gemwork",-0.498181433838762,0.01289441196729,0,"***"
"M3: H3 NECI Amplification","agency_index:neci_overall_std",0.0233844822481965,0.0471235117646005,0.619726428495781,""
"M4: H4 Random Slopes","(Intercept)",-2.5059695399688,0.17441915134769,8.2749004131097e-47,"***"
"M4: H4 Random Slopes","agency_index",0.601320810486146,0.0630519515496922,1.47150928715443e-21,"***"
"M4: H4 Random Slopes","nes_inq_std",-0.0106056799098714,0.0759376774759135,0.88892630252818,""
"M4: H4 Random Slopes","age",0.0168401015269152,0.00512942554526332,0.0010269464094167,"***"
"M4: H4 Random Slopes","gender",-0.215831708929287,0.0362488463313274,2.61398708601784e-09,"***"
"M4: H4 Random Slopes","hhsize",-0.00341507444036667,0.0091712801656576,0.709620240600617,""
"M4: H4 Random Slopes","gemeduc",0.000176336906462202,4.11216523468497e-05,1.8014586169267e-05,"***"
"M4: H4 Random Slopes","gemhhinc",5.57071516544519e-06,5.85722210643565e-07,1.89113772596072e-21,"***"
"M4: H4 Random Slopes","gemoccu",0.300806590850081,0.00709099305383485,0,"***"
"M4: H4 Random Slopes","gemwork",-0.497485240733252,0.0129089218151592,0,"***"
"M4: H4 Random Slopes","agency_index:nes_inq_std",-0.0272555694317889,0.0624696579881005,0.662618412375507,""
